timestamp,tvlUsd,apy,apyBase,apyReward,il7d,apyBase7d
2024-02-09T23:01:21.005Z,24068585114.0,3.88,3.88,,,
2024-10-13T23:01:17.358Z,24066158590.0,3.085,3.085,,,
2024-11-03T23:01:11.431Z,24063736030.0,2.868,2.868,,,
2024-02-11T23:02:04.064Z,24053730354.0,3.336,3.336,,,
2024-02-10T23:02:09.792Z,24053720528.0,3.641,3.641,,,
2024-09-19T23:01:03.299Z,24005713552.0,3.261,3.261,,,
2024-10-25T23:01:40.332Z,23973588131.0,2.97,2.97,,,
2024-09-13T23:01:39.673Z,23937247640.0,2.875,2.875,,,
2024-01-13T23:01:23.138Z,23924527266.0,3.5,3.5,,,
2024-08-27T23:01:49.588Z,23919155785.0,2.785,2.785,,,
2024-08-05T23:01:14.300Z,23855331817.0,9.908,9.908,,,
2024-10-08T23:01:28.629Z,23840952331.0,3.358,3.358,,,
2024-10-11T23:01:41.140Z,23816397990.0,3.188,3.188,,,
2024-10-06T23:02:05.997Z,23787873333.0,2.976,2.976,,,
2024-09-01T23:01:23.691Z,23767039406.0,2.674,2.674,,,
2024-10-04T23:01:14.348Z,23745044916.0,2.949,2.949,,,
2024-11-05T23:01:32.653Z,23668012636.0,2.933,2.933,,,
2025-03-02T23:01:25.314Z,23662814664.0,2.764,2.764,,,
2024-10-07T23:01:26.837Z,23644264006.0,3.051,3.051,,,
2025-02-25T23:02:32.021Z,23637489715.0,4.108,4.108,,,
2024-10-05T23:01:32.361Z,23630402140.0,2.882,2.882,,,
2024-09-14T23:01:25.734Z,23615098451.0,2.859,2.859,,,
2025-02-24T23:01:44.817Z,23594781685.0,2.792,2.792,,,
2024-01-15T23:01:26.015Z,23531312308.0,3.3,3.3,,,
2024-01-10T23:01:21.008Z,23494154968.0,4.0,4.0,,,
2024-01-14T23:02:56.840Z,23471325505.0,3.3,3.3,,,
2024-01-17T23:01:27.715Z,23424673089.0,3.5,3.5,,,
2024-10-02T23:01:34.539Z,23357199334.0,3.063,3.063,,,
2024-11-04T23:01:36.592Z,23347094296.0,2.868,2.868,,,
2024-09-10T23:01:20.247Z,23344514453.0,3.022,3.022,,,
2024-09-05T23:01:10.303Z,23290537236.0,3.019,3.019,,,
2024-02-08T23:02:45.863Z,23182873437.0,3.792,3.792,,,
2024-02-07T23:02:02.490Z,23175974515.0,3.443,3.443,,,
2024-01-19T23:01:19.909Z,23159085894.0,4.5,4.5,,,
2024-01-12T23:01:27.144Z,23120204457.0,3.3,3.3,,,
2024-09-09T23:01:21.875Z,23115283807.0,2.904,2.904,,,
2024-10-10T23:01:18.634Z,23094808364.0,3.149,3.149,,,
2024-10-09T23:01:26.642Z,23043001012.0,3.431,3.431,,,
2024-01-21T23:01:32.760Z,23036834477.0,3.1,3.1,,,
2024-10-03T23:01:19.648Z,23014324628.0,3.021,3.021,,,
