date,totalLiquidityUSD
2024-12-29 00:00:00,6649039646.7577
2024-12-30 00:00:00,6403083027.44929
2024-12-31 00:00:00,6664037136.48168
2025-01-01 00:00:00,6665977767.14136
2025-01-02 00:00:00,6471637222.96003
2025-01-03 00:00:00,6975384405.06249
2025-01-04 00:00:00,7507657878.35244
2025-01-05 00:00:00,7604273968.91336
2025-01-06 00:00:00,7567775033.88814
2025-01-07 00:00:00,7564733878.7161
2025-01-08 00:00:00,7093146309.17419
2025-01-09 00:00:00,7028562809.52063
2025-01-10 00:00:00,6905232192.17175
2025-01-11 00:00:00,7035439426.6741
2025-01-12 00:00:00,7058789879.76858
2025-01-13 00:00:00,7204481909.09893
2025-01-14 00:00:00,7013779545.23461
2025-01-15 00:00:00,7169920854.1712
2025-01-16 00:00:00,7657287634.51428
2025-01-17 00:00:00,7331832971.63059
2025-01-18 00:00:00,7542665834.44051
2025-01-19 00:00:00,7111040165.53562
2025-01-20 00:00:00,6791887936.31455
2025-01-21 00:00:00,6970542876.04872
2025-01-22 00:00:00,7098781818.67574
2025-01-23 00:00:00,7089865433.10445
2025-01-24 00:00:00,7412947293.71423
2025-01-25 00:00:00,7214966554.40252
2025-01-26 00:00:00,7317042127.08187
2025-01-27 00:00:00,7198286305.60328
2025-01-28 00:00:00,6958180330.43492
2025-01-29 00:00:00,6852489009.38333
2025-01-30 00:00:00,6893587188.82474
2025-01-31 00:00:00,7079548419.75904
2025-02-01 00:00:00,6916013541.43896
2025-02-02 00:00:00,6694107358.08277
2025-02-03 00:00:00,6267065342.14897
2025-02-04 00:00:00,6142496175.78246
2025-02-05 00:00:00,6567367095.4732
2025-02-06 00:00:00,6924244716.42725
2025-02-07 00:00:00,7058965515.65071
2025-02-08 00:00:00,7198033310.21914
2025-02-09 00:00:00,7278474232.13547
2025-02-10 00:00:00,7276761119.9676
2025-02-11 00:00:00,7278374694.15535
2025-02-12 00:00:00,7267231618.34582
2025-02-13 00:00:00,7541236339.04187
2025-02-14 00:00:00,7434293094.11464
2025-02-15 00:00:00,7486785628.38782
2025-02-16 00:00:00,7544680989.30964
2025-02-17 00:00:00,7464739891.38612
2025-02-18 00:00:00,7548954706.80713
2025-02-19 00:00:00,7551221248.04819
2025-02-20 00:00:00,7558692474.97316
2025-02-21 00:00:00,7257096729.70681
2025-02-22 00:00:00,6545806647.59195
2025-02-23 00:00:00,6753880027.14326
2025-02-24 00:00:00,6994496902.01676
2025-02-25 00:00:00,6578866974.93936
2025-02-26 00:00:00,6116396182.15207
2025-02-27 00:00:00,5493847379.08784
2025-02-28 00:00:00,5458803888.91326
2025-03-01 00:00:00,5861399686.30564
2025-03-02 00:00:00,5934700103.93247
2025-03-03 00:00:00,6413575646.15857
